         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            53717044              66        16.04        20.59         1058.64         1358.94
            62283911               7        15.50        21.11          108.50          147.77
            19784361               6        18.19        21.20          109.14          127.20
            76502369               7        12.35        16.47           86.45          115.29
            53972005              43        22.81        28.51          980.83         1225.93
            71387635              81        14.74        17.92         1193.94         1451.52
            79334055              46        26.54        30.77         1220.84         1415.42
            86767861              93        16.94        22.43         1575.42         2085.99
            77643941              27        13.18        16.62          355.86          448.74
            32895121              61        28.99        32.57         1768.39         1986.77
            77086936              79        19.91        25.81         1572.89         2038.99
            22442765              20        14.24        18.39          284.80          367.80
            18982295              44        21.43        25.71          942.92         1131.24
            50134836               8        27.71        31.48          221.68          251.84
            74435780              64        24.09        29.58         1541.76         1893.12
            11458375             100        18.51        21.68         1851.00         2168.00
            27270146              81        23.52        27.65         1905.12         2239.65
            83740526              23        19.56        22.59          449.88          519.57
            28232368              63        19.07        23.98         1201.41         1510.74
            31187804              66        20.23        25.46         1335.18         1680.36
            80203561               4        28.03        32.89          112.12          131.56
            71540862              46        25.58        30.30         1176.68         1393.80
            53741016              54        23.69        27.10         1279.26         1463.40
            40095023              62        18.63        24.31         1155.06         1507.22
            31353041              28        21.82        27.67          610.96          774.76
            39941194              44        19.12        23.33          841.28         1026.52
            39898842               8        20.69        25.42          165.52          203.36
            17461679              54        10.76        16.74          581.04          903.96
            22231544              65        23.11        28.16         1502.15         1830.40
            56044625              77        26.84        30.00         2066.68         2310.00
            12949685               6        26.89        30.96          161.34          185.76
            43849621              22        20.16        23.82          443.52          524.04
            32945551              21        21.25        26.10          446.25          548.10
            60683021               2        18.36        23.75           36.72           47.50
            21552284              30        10.40        15.18          312.00          455.40
            69384947              99        12.41        16.75         1228.59         1658.25
            68262175              92        19.83        24.50         1824.36         2254.00
            37055841              87        19.81        24.45         1723.47         2127.15
            37413158              28        28.57        33.34          799.96          933.52
            82258988              50        17.04        20.76          852.00         1038.00
            14578137              41        16.99        21.27          696.59          872.07
            54036898              68        10.71        13.78          728.28          937.04
            88046718              25        22.56        27.49          564.00          687.25
            62111634               1        16.41        19.97           16.41           19.97
            44735928               9        27.18        31.76          244.62          285.84
            72660734              37        22.74        27.19          841.38         1006.03
            37761798              48        13.31        17.97          638.88          862.56
            49265048              58        13.50        18.90          783.00         1096.20
            23132529              24        24.77        28.34          594.48          680.16
            76076746              64        15.72        19.29         1006.08         1234.56
            34092153               3        23.76        29.20           71.28           87.60
            16224831              41        11.63        16.47          476.83          675.27
            43891580              46        11.44        16.13          526.24          741.98
            47533952              96        11.85        15.79         1137.60         1515.84
            80101873              62        28.13        32.28         1744.06         2001.36
            72247784              90        11.52        17.26         1036.80         1553.40
            36020570              22        15.27        19.78          335.94          435.16
            29022294              63        14.43        18.23          909.09         1148.49
            51080942              56        23.57        29.09         1319.92         1629.04
            68740451               3        10.94        16.14           32.82           48.42
            22142782              41        17.65        21.80          723.65          893.80
            29257517              83        10.76        13.93          893.08         1156.19
            40749682              96        14.45        19.50         1387.20         1872.00
            19103941              66        25.55        28.79         1686.30         1900.14
            18398033              13        29.16        32.22          379.08          418.86
            35304393              38        29.75        33.66         1130.50         1279.08
            71852096              57        26.92        30.71         1534.44         1750.47
            75630018              41        10.08        15.68          413.28          642.88
            55396347              65        12.49        18.04          811.85         1172.60
            36511952              85        13.32        17.87         1132.20         1518.95
            49045379              25        14.14        19.04          353.50          476.00
            78907535              46        22.91        27.32         1053.86         1256.72
            26782989              32        17.16        20.93          549.12          669.76
            43051474              81        20.39        25.20         1651.59         2041.20
            15276046              96        15.72        19.42         1509.12         1864.32
            42978025              89        27.65        33.36         2460.85         2969.04
            15963630               5        29.36        32.93          146.80          164.65
            50040763              32        14.71        20.02          470.72          640.64
            77430412              70        29.20        34.45         2044.00         2411.50
            71733835              17        22.36        25.67          380.12          436.39
            44481271              78        27.03        32.21         2108.34         2512.38
            38561693              47        18.00        22.00          846.00         1034.00
            66910032              10        12.87        17.11          128.70          171.10
            43984612              76        25.76        31.51         1957.76         2394.76
            85699860              21        20.28        23.37          425.88          490.77
            44137228              61        23.26        27.46         1418.86         1675.06
            74497902              82        20.00        23.21         1640.00         1903.22
            88491828              34        29.57        34.24         1005.38         1164.16
            22662424               1        11.84        15.28           11.84           15.28
            49996948              32        21.50        26.64          688.00          852.48
            36760711              52        18.94        23.46          984.88         1219.92
            41555059              44        27.38        32.97         1204.72         1450.68
            58045576              64        10.51        16.20          672.64         1036.80
            46132369              64        28.23        32.34         1806.72         2069.76
            11587650              37        10.76        14.92          398.12          552.04
            33686751              46        20.10        23.74          924.60         1092.04
            81106814               9        12.55        17.38          112.95          156.42
            77435552              39        12.08        17.33          471.12          675.87
            88304184              84        18.55        23.14         1558.20         1943.76
            69730813              84        12.39        17.64         1040.76         1481.76
            41610696               9        14.03        17.30          126.27          155.70
            76147512              40        24.26        27.40          970.40         1096.00
            68324629               6        24.98        30.61          149.88          183.66
            34389249              83        17.68        22.58         1467.44         1874.14
            56827836              55        15.74        20.17          865.70         1109.35
            14698138              39        15.68        21.08          611.52          822.12
            56953445              35        21.16        25.85          740.60          904.75
            81138617              46        15.15        19.76          696.90          908.96
            35631998              79        25.89        29.56         2045.31         2335.24
            31641263              48        20.95        26.17         1005.60         1256.16
            43771833              50        18.24        21.52          912.00         1076.00
            79170842              16        29.59        34.75          473.44          556.00
            60360685              42        28.86        33.14         1212.12         1391.88
            71529535              21        27.36        31.04          574.56          651.84
            40160899              46        10.83        14.53          498.18          668.38
            81912584              99        26.86        31.94         2659.14         3162.06
            32913509              42        11.94        16.43          501.48          690.06
            83234292              26        23.80        29.24          618.80          760.24
            57739204               1        23.02        27.52           23.02           27.52
            60384491              55        28.17        32.53         1549.35         1789.15
            69855441              96        15.56        18.77         1493.76         1801.92
            83391843              30        20.31        23.67          609.30          710.10
            63706075              21        15.39        21.26          323.19          446.46
            50295179              88        23.09        28.10         2031.92         2472.80
            49493175              39        14.55        19.03          567.45          742.17
            32728517              82        15.43        19.58         1265.26         1605.56
            56664402              75        12.40        15.93          930.00         1194.75
            35342162              75        29.91        34.65         2243.25         2598.75
            84623811               2        15.66        20.90           31.32           41.80
            32216703              97        23.12        28.83         2242.64         2796.51
            35303316              84        10.96        14.03          920.64         1178.52
            21323997              81        12.74        16.19         1031.94         1311.39
            83762728              45        22.25        25.31         1001.25         1138.95
